Time[s], A, B, C, D, E, R0, G0, B0, R1, G1, B1, CLK, LAT, OE
0.00000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000034, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000038, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000076, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000096, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0.00000152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.00000156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0.00000158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
